field,title,author,abstract
Zoology,"Nutritional analysis of commercially available, complete plant- and meat-based dry dog foods in the UK","R.A.,D.,R.,D.S.,R.A.,D.,R.,D.S.,R.A.,D.,R.",
Zoology,Bird Name-a-thon: Categorizing English bird names using crowdsourcing,"Erin S.,Guinevere P.,Stepfanie M.,Jarome R.,Olivia,Daniel T.,Illeana,Kevin F.P.,Kevin M.,Riley,Rosanne M.,Therese A.,Ida,Sarah N.,Brooke D.,Eric R.,Matthew,Jocelyn,Gavin M.,Kira M.,Ziqi,Dakota E.,J.F.,Gaia Rueda,Talia M.,Lara,Ugo,Teresa,Kaiya L.,Shauna A.,Jessie Frances,Lauren C.,Jared A.,Heather R.,Juliana,Young Ha,Qingyue,Matthew E.,Sissy,Betsy,Ziqi,Allison J.,Erin S.,Guinevere P.,Stepfanie M.,Jarome R.,Olivia,Daniel T.,Illeana,Kevin F.P.,Kevin M.,Riley,Rosanne M.,Therese A.,Ida,Sarah N.,Brooke D.,Eric R.,Matthew,Jocelyn,Gavin M.,Kira M.,Ziqi,Dakota E.,J.F.,Gaia Rueda,Talia M.,Lara,Ugo,Teresa,Kaiya L.,Shauna A.,Jessie Frances,Lauren C.,Jared A.,Heather R.,Juliana,Young Ha,Qingyue,Matthew E.,Sissy,Betsy,Ziqi,Allison J.,Erin S.,Guinevere P.,Stepfanie M.,Jarome R.,Olivia,Daniel T.,Illeana,Kevin F.P.,Kevin M.,Riley,Rosanne M.,Therese A.,Ida,Sarah N.,Brooke D.,Eric R.,Matthew,Jocelyn,Gavin M.,Kira M.,Ziqi,Dakota E.,J.F.,Gaia Rueda,Talia M.,Lara,Ugo,Teresa,Kaiya L.,Shauna A.,Jessie Frances,Lauren C.,Jared A.,Heather R.,Juliana,Young Ha,Qingyue,Matthew E.,Sissy,Betsy,Ziqi",
Developmental Biology,Experimental short-term heatwaves negatively impact body weight gain and survival during larval development in a wild pollinator,"Laura,Christoph,Laura,Christoph,Laura","Climate change-induced heatwaves threaten global biodiversity, including crucial pollinators like bumblebees. Despite alarming projections, little is known about the effects of short-term heatwaves on insect larval development. Hence, we investigated the impact of simulated heatwaves on the development of fourth instar larvae (L4) of , L. (Hymenoptera: Apidae) using an "
Zoology,"Mitogenomics, phylogenetic position, and updated distribution of ","Dries,Maarten P. M.,Lawrence,Jiří,Nikol,Armando J.,Dries,Maarten P. M.,Lawrence,Jiří,Nikol,Armando J.,Dries,Maarten P. M.,Lawrence,Jiří,Nikol",
Zoology,"Effects of fasting on heat-stressed broiler chickens: part I- growth performance, meat quality, gut histomorphological and microbial responses","Tanvir,Md. Abul,Afifa,Ankon,Shahina,Takashi,Shubash Chandra,Tanvir,Md. Abul,Afifa,Ankon,Shahina,Takashi,Shubash Chandra,Tanvir,Md. Abul,Afifa,Ankon,Shahina,Takashi","The current study aimed to optimize the fasting duration in order to mitigate the detrimental effects of heat stress on broilers raised in hot and humid climatic environments. A total of 500 broiler DOCs were assigned to five distinct treatment groups: Tₒ= Non-fasted controlled temperature (24-26℃) (NF-CT), T,= Non-fasted heat stressed (30-38℃) (NF-HS), T,= 6 hours fasted heat stressed (6-h FHS), T,= 8 hours fasted heat stressed (8-h FHS), and T"
Developmental Biology,Male is the default sex: functional significance of the sex determination cascade in horned dung beetles,"London C.,Armin P.,Erica M.,London C.,Armin P.,Erica M.,London C.,Armin P.",
Developmental Biology,"The Xenopus respiratory system reveals common tetrapod mechanisms for growth, regeneration and healing","Shiri Kult,Nikko-Ideen,Marko E,Neil,Shiri Kult,Nikko-Ideen,Marko E,Neil,Shiri Kult,Nikko-Ideen,Marko E","In recent years, we have seen a significant increase in our understanding of the mechanisms of development, regeneration, and healing of the respiratory system. However, most of these studies have been limited by their focus on mammalian systems. Here, we aimed to identify the underlying molecular mechanisms that are active during lung growth and tissue repair in amphibians, specifically Xenopus tropicalis (,). First, we analyzed the stem cell composition and signaling pathways that are active in epithelial and mesenchymal cells during lung growth. Then, we established a protocol for lung injury to assess the types of stem cells underlying tissue repair. In mammals, Sftpc+ (AT2) cells are alveolar stem cells that can differentiate to Krt8+ cells during lung homeostasis and post-injury repair. In this study, we identified Sftpc+ cells and Krt8+ cells, along with the activity of key developmental signaling pathways, Hippo and Wnt, during lung maturation at post-metamorphosis stages. We then established a protocol for lung injury using chemically induced injury with bleomycin, which damages the lung through oxidative stress. The results show an elevation in collagen post-injury, indicating bleomycin’s effect in causing lung fibrosis. , froglets survived 42 days post-injury, with a continuous decrease in fibrosis. To explore this effect, we analyzed the distribution of lung stem cells; Sox9 protein levels and Sftp gene expression were downregulated at the alveoli 42 days post-injury. The decrease in stem cell marker expression 42 days post-injury suggests they are differentiating as part of the healing process. Nevertheless, we could still detect them after a few weeks of healing. These results suggest that , has a regenerative capacity for lung tissue repair and that the same signaling pathways and stem cells are active in both amphibians and mammalian lungs during lung growth, regeneration, and healing. These findings show for the first time the physiological similarities between the anuran and the mammalian lung during growth and tissue repair processes, suggesting "
Developmental Biology,A low CDKN1c/p57,"Baptiste,Nathalie,Fanny,Kamal,Rosette,Morgane,Evelyne,Xavier,Baptiste,Nathalie,Fanny,Kamal,Rosette,Morgane,Evelyne,Xavier,Baptiste,Nathalie,Fanny,Kamal,Rosette,Morgane,Evelyne",
Animal Behavior and Cognition,Early experience affects foraging behavior of wild fruit-bats more than their original behavioral predispositions,"Adi,Lee,Reut,Aya,Xing,Nesim,Yossi,Adi,Lee,Reut,Aya,Xing,Nesim,Yossi,Adi,Lee,Reut,Aya,Xing,Nesim",
Developmental Biology,Filopodia-like Structures are Essential for Steroid Release,"Eléanor,Raphaël,Yassine,Marie-Paule,Nuria Magdalena,Eléanor,Raphaël,Yassine,Marie-Paule,Nuria Magdalena,Eléanor,Raphaël,Yassine,Marie-Paule",
Zoology,"Phylogenomics of a genus of ‘Great Speciators’ reveals rampant incomplete lineage sorting, gene flow, and mitochondrial capture in island systems","Jenna M.,Chad M.,Shannon,Corinne E.,Michael J.,Jenna M.,Chad M.,Shannon,Corinne E.,Michael J.,Jenna M.,Chad M.,Shannon,Corinne E.","The flora and fauna of island systems, especially those in the Indo-Pacific, are renowned for their high diversification rates and outsized contribution to the development of evolutionary theories. The total diversity of geographic radiations of many Indo-Pacific fauna is often incompletely sampled in phylogenetic studies due to the difficulty in obtaining single island endemic forms across the Pacific and the relatively poor performance of degraded DNA when using museum specimens for inference of evolutionary relationships. New methods for production and analysis of genome-wide datasets sourced from degraded DNA are facilitating insights into the complex evolutionary histories of these influential island faunas. Here, we leverage whole genome resequencing (20X average coverage) and extensive sampling of all taxonomic diversity within "
Zoology,Additions to the list of arthropods of Reunion Island,"Samuel,Joëlle,Sébastien,Mirana,Sabine,Janice,Romuald,Philippe,Bruno,Samuel,Joëlle,Sébastien,Mirana,Sabine,Janice,Romuald,Philippe,Bruno,Samuel,Joëlle,Sébastien,Mirana,Sabine,Janice,Romuald,Philippe",
Animal Behavior and Cognition,X-Tracker: Automated Analysis of Xenopus Tadpole Visual Avoidance Behavior,"Caroline R.,Aaron C.,Christopher L.,Natalie J.,Kailey J.,Hollis T.,Caroline R.,Aaron C.,Christopher L.,Natalie J.,Kailey J.,Hollis T.,Caroline R.,Aaron C.,Christopher L.,Natalie J.,Kailey J.",
Animal Behavior and Cognition,The consonance of chords: The effect of subsemitone changes to each of the notes in a trichord on its perceived consonance,"J.M.,J.M.,M. J.,J.M.,J.M.,M. J.,J.M.,J.M.",
Animal Behavior and Cognition,Noradrenergic and Pavlovian underpinnings of compulsive versus adaptive coping strategies,"Chloe S.,Aude,Mickaël,Sebastiano A.,Maxime,Bence,Charlotte (Zhixuan),Alejandro,Sue,David,Chloe S.,Aude,Mickaël,Sebastiano A.,Maxime,Bence,Charlotte (Zhixuan),Alejandro,Sue,David,Chloe S.,Aude,Mickaël,Sebastiano A.,Maxime,Bence,Charlotte (Zhixuan),Alejandro,Sue",
Animal Behavior and Cognition,Artoo-Detoo: What imitating a Star Wars droid reveals on allospecific vocal imitation in parrots and starlings,"Nick C.P.,Henkjan,Michelle J.,Nick C.P.,Henkjan,Michelle J.,Nick C.P.,Henkjan",
Developmental Biology,WNT-mediating TCF/LEF transcription factor gene expression in early human pluripotency and cell lineages differs from the rodent paradigm,"Connor,Takuya,Marika,Richard,Jennifer,Stefan,Connor,Takuya,Marika,Richard,Jennifer,Stefan,Connor,Takuya,Marika,Richard,Jennifer","Embryonic stem cell research has uncovered different requirements for WNT/β-catenin signalling in human naïve pluripotent cells compared to the mouse paradigm. It is therefore important to study WNT/β-catenin signalling directly in models of early human development. Since TCF/LEF factors mediate the regulation of target genes downstream of WNT/β-catenin signalling, we studied the expression and protein localisation of the four TCF/LEF genes by analysing , “snapshots” of human development, leveraging naïve and primed pluripotent cells as well as extraembryonic and early embryonic cell lineages. Strikingly, we comprehensively confirm clear differences between mouse and human pluripotent stem cells, suggesting species-specific requirements for WNT signalling that may reflect differences in states of pluripotency. Human naïve ES cells express very low TCF7L1, unlike their mouse counterparts. TCF7L2 is robustly expressed in human naïve ES-derived trophectoderm cells. In human primed pluripotent stem cells, activation of WNT/β-Catenin signalling is required to induce expression of both , and "
Animal Behavior and Cognition,A sensory approach to turbidity: How sources and levels shape aquatic light environments and fish visual ecology,"Anna,Adelaide,Theresa,Cait,Anna,Adelaide,Theresa,Cait,Anna,Adelaide,Theresa",
Animal Behavior and Cognition,Unveiling the latent dynamics in social cognition with multi-agent inverse reinforcement learning,"Yusi,Angela,Herbert Zheng,Yusi,Angela,Herbert Zheng,Yusi,Angela",
Biophysics,Generating Multi-state Conformations of P-type ATPases with a Diffusion Model,"Jingtian,Yong,Jingtian,Yong,Jingtian",
Biophysics,The conformational equilibria of a human GPCR compared between lipid vesicles and aqueous solutions by integrative ,"Arka,Beining,Matthew,Arka,Beining,Matthew,Arka,Beining","Endogenous phospholipids influence the conformational equilibria of G protein-coupled receptors, regulating their ability to bind drugs and form signaling complexes.  However, most studies of GPCR-lipid interactions have been carried out in mixed micelles or lipid nanodiscs.  Though useful, these membrane mimetics do not fully replicate the physical properties of native cellular membranes associated with large assemblies of lipids.  We investigated the conformational equilibria of the human A, adenosine receptor (A,AR) in phospholipid vesicles using ,F solid-state magic angle spinning NMR (SSNMR).  By applying an optimized sample preparation workflow and experimental conditions, we were able to obtain ,F-SSNMR spectra for both antagonist- and agonist-bound complexes with sensitivity and line widths closely comparable to those achieved using solution NMR.  This facilitated a direct comparison of the A2AAR conformational equilibria across detergent micelle, lipid nanodisc, and lipid vesicle preparations.  While antagonist-bound A,AR showed a similar conformational equilibria across all membrane and membrane mimetic systems, the conformational equilibria of agonist-bound A"
Animal Behavior and Cognition,Prefrontal representations of retrospective spatial working memory in a rodent radial maze task,"Joshua Paul,Lorenzo,Julia,Sean,Josephine Cecelia,Elizabeth,Clay,Stefano,Christoph,Joshua Paul,Lorenzo,Julia,Sean,Josephine Cecelia,Elizabeth,Clay,Stefano,Christoph,Joshua Paul,Lorenzo,Julia,Sean,Josephine Cecelia,Elizabeth,Clay,Stefano",
Biophysics,The structural influence of the oncogenic driver mutation N642H in the STAT5B SH2 domain,"Liam,Deniz,Ayesha,Masha,Qirat F.,Elvin D.,Derek J.,Sarah,Liam,Deniz,Ayesha,Masha,Qirat F.,Elvin D.,Derek J.,Sarah,Liam,Deniz,Ayesha,Masha,Qirat F.,Elvin D.,Derek J.",
Biophysics,The role of RNA in the nanoscale organization of alpha-synuclein phase separation,"Sabrina,Eleonora,Jakob,Elsa,Eli,Gian Gaetano,Giuseppe,Sabrina,Eleonora,Jakob,Elsa,Eli,Gian Gaetano,Giuseppe,Sabrina,Eleonora,Jakob,Elsa,Eli,Gian Gaetano",
Animal Behavior and Cognition,When Rivals Are Absent: Male Aggression Towards Females in Bluefin Killifish,"Ratna,Rebecca C.,Ratna,Rebecca C.,Ratna",
Biophysics,Bringing Attomolar Detection to the Point-of-Care with Nanopatterned DNA Origami Nanoantennas,"Renukka,Kateryna,Mihir,Vivien,Benedikt,Jan,Cindy,Michael,Giovanni,Leoni,Sophia,Viktorija,Tim,Philip,Renukka,Kateryna,Mihir,Vivien,Benedikt,Jan,Cindy,Michael,Giovanni,Leoni,Sophia,Viktorija,Tim,Philip,Renukka,Kateryna,Mihir,Vivien,Benedikt,Jan,Cindy,Michael,Giovanni,Leoni,Sophia,Viktorija,Tim",
Animal Behavior and Cognition,Freely foraging macaques value information in ambiguous terrains,"Neda,Zurna,Yuliya,Irene,Alexander,Neda,Zurna,Yuliya,Irene,Alexander,Neda,Zurna,Yuliya,Irene",
Biophysics,Reliable reconstruction of cricket song from biophysical models and preserved specimens,"Ryan J,Sarah C,Gabriella VS,Nathan W,Natasha,Ryan J,Sarah C,Gabriella VS,Nathan W,Natasha,Ryan J,Sarah C,Gabriella VS,Nathan W",
Biophysics,Torsion is a Dynamic Regulator of DNA Replication Stalling and Reactivation,"Xiaomeng,Xiang,Shuming,James T,Yifeng T,Anupam,Smita S,Michelle D,Xiaomeng,Xiang,Shuming,James T,Yifeng T,Anupam,Smita S,Michelle D,Xiaomeng,Xiang,Shuming,James T,Yifeng T,Anupam,Smita S","The inherent helical structure of DNA dictates that a replisome must rotate relative to DNA during replication, presenting inevitable topological challenges to replication. However, little is known about how the replisome progresses against torsional stress. Here, we developed a label-free, high-resolution, real-time assay to monitor replisome movement under torsion. We visualized the replisome rotation of DNA and determined how the replisome slows down under torsion. We found that while helicase or DNA polymerase (DNAP) individually is a weak torsional motor, the replisome composed of both enzymes is the most powerful DNA torsional motor studied to date. It generates ~ 22 pN·nm of torque before stalling, twice the stall torque of "
Biophysics,A thermodynamic framework for nonequilibrium self-assembly and force morphology tradeoffs in branched actin networks,"Elisabeth,Suriyanarayanan,Elisabeth,Suriyanarayanan,Elisabeth",
Biochemistry,Mechanochemical forces regulate the composition and fate of stalled nascent chains,"Danish,Ananya A,Cole S,Onn,Danish,Ananya A,Cole S,Onn,Danish,Ananya A,Cole S","The ribosome-associated ,uality ,ontrol (RQC) pathway resolves stalled ribosomes. As part of RQC, stalled nascent polypeptide chains (NCs) are appended with ,rboxy-"
Biochemistry,Intrinsically disordered RNA-binding motifs cooperate to catalyze RNA folding and drive phase separation,"Annika,Thomas,Janosch,Melina,Mario,Elena,André P.,Irina,Wieland,Marisa,Roland Gerhard,Robert,Jean-Christophe,Dorothee,Kathi,Michael,Dierk,Annika,Thomas,Janosch,Melina,Mario,Elena,André P.,Irina,Wieland,Marisa,Roland Gerhard,Robert,Jean-Christophe,Dorothee,Kathi,Michael,Dierk,Annika,Thomas,Janosch,Melina,Mario,Elena,André P.,Irina,Wieland,Marisa,Roland Gerhard,Robert,Jean-Christophe,Dorothee,Kathi,Michael",
Biochemistry,Assessing substrate scope of the cyclodehydratase LynD by mRNA display-enabled machine learning models,"Emma G.,Henry,Jarrett M.,Brian,Albert A.,Emma G.,Henry,Jarrett M.,Brian,Albert A.,Emma G.,Henry,Jarrett M.,Brian",
Biochemistry,Recognition and Cleavage of Human tRNA Methyltransferase TRMT1 by the SARS-CoV-2 Main Protease,"Angel,Xuhang,Saba,Sophie,Evan P,Lucie,Yingkai,Jeffrey S,Angel,Xuhang,Saba,Sophie,Evan P,Lucie,Yingkai,Jeffrey S,Angel,Xuhang,Saba,Sophie,Evan P,Lucie,Yingkai",
Biochemistry,Mechanistic Insights into Alcohol-Induced DNA Crosslink Repair by the Fanconi Anemia Nuclease Slx4-Xpf-Ercc1,"Jana,Milan,Andrea,Anthony,Evzen,Radim,Jan,Jana,Milan,Andrea,Anthony,Evzen,Radim,Jan,Jana,Milan,Andrea,Anthony,Evzen,Radim",
Biochemistry,Charting the molecular landscape of neuronal organisation within the hippocampus using cryo electron tomography,"Calina,Jake L R,Matthew,Rebecca,Ana,Maria E,Thomas S,Avery,Michael,Calina,Jake L R,Matthew,Rebecca,Ana,Maria E,Thomas S,Avery,Michael,Calina,Jake L R,Matthew,Rebecca,Ana,Maria E,Thomas S,Avery",
Biochemistry,"Calcium-modulated cis and trans E-cadherin EC1-2 interactions play a key role in formation, dynamics and plasticity of cadherin junctions","Patrick,Patrick",
Biochemistry,"Zymoseptoria tritici proteins structurally related to UmV-KP4 and UmV-KP6 are toxic to fungi, and define novel structural families of fungal effectors","Karine,Lea,Jerome,Andre,Philippe,Francois,Mounia,Justine,Yohann,Thomas,Marc-Henri,Karine,Lea,Jerome,Andre,Philippe,Francois,Mounia,Justine,Yohann,Thomas,Marc-Henri,Karine,Lea,Jerome,Andre,Philippe,Francois,Mounia,Justine,Yohann,Thomas",
